product_name,brands,ingredients_text,
"Navy beans, seasoned, low sodium",California Healthy Harvest,,
Mazola,Heart Healthy,Corn oil.,
Honey Smoked Turkey Breast,Healthy Ones,"Turkey breast, white turkey, turkey broth, honey, contains 2% or less of potassium lactate, dextrose, salt, sodium phosphates, sodium diacetate, potassium chloride, natural flavor, sodium nitrite, sodium erythorbate.",
Healthy energy drink mix,,,
"HEALTHY CHOICE Cafe Steamers Asian Beef Teriyaki, 9.5 OZ",,"cooked rice (water, white rice), seasoned cooked beef and binder product (beef, water, contains 2% or less of: caramel color, dextrose, seasoning [natural flavor, salt, maltodextrin, dried whey, dried cauliflower, sesame oil], modified corn starch, potassium chloride, potassium phosphate, salt, sodium phosphates, spice extractives), carrots, water, broccoli, water chestnuts, brown sugar, soy sauce (water, wheat, soybeans, salt, alcohol, vinegar, lactic acid), contains 2% or less of: scallions, pineapple juice concentrate, rice vinegar, modified corn starch, ginger puree, garlic, sesame oil, onions, canola oil, cooking wine (white wine, natural flavor, salt), sugar, chardonnay wine, ginger, chili paste (red chili peppers, distilled vinegar, salt, xanthan gum), butter (cream, salt), olive oil, contains: milk, wheat, soy,",
Healthy grains maple quinoa clusters with chia seeds,Kind,"whole grain blend (oats, brown rice, oat flour, millet, amaranth, buckwheat, quinoa), dried cane syrup, canola oil, chia seeds, maple syrup, molasses, brown rice syrup, natural flavor, sea salt, vitamin e (to maintain freshness),",
Cream of Wheat healthy grain,,,
Cafe steamers chicken fettuccini alfredo,Healthy Choice,"Cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg white), sauce (water, parmesan cheese [part skim milk, cheese culture, salt, enzymes], soybean oil, modified corn starch, nonfat dry milk, contains 2% or less of: alfredo cheese blend [parmesan, cheddar and romano cheese from cow's milk {milk, cheese culture, salt, enzymes}, water, nonfat dry milk, salt, disodium phosphate, sodium citrate], flavorings, potassium chloride, sea salt, xanthan gum, guar gum), cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), broccoli. contains: egg, milk, soy, wheat.",
Formula 1 Healthy Meal Banana Caramel,,,
Heart healthy tomato condensed soup,"Kroger, The Kroger Co.",nedents tomato puree nater tomato pastel water we adr sugar contains less than 2% of sombean ol salt n dalorce sea salt natural flavor ctrcaco crcacc containg wheat 1stauted by the kroger co ocn ohio 452 0 serving instructions of water or milk f prefered 2% stovetop,
Healthy Vegan Chocobites,Alyssa's,,
healthy energy,,,
Soft bread multigrain,Healthy Choice,"WHOLE WHEAT FLOUR, WHEAT FLOUR BLEACHED, WATER, WHEAT GLUTEN, BROWN SUGAR, WHEAT BRAN, HIGH FRUCTOSE CORN SYRUP, CONTAINS 2% OR LESS OF THE FOLLOWING: CRUSHED WHEAT, CRACKED RYE, CORNMEAL, OATS, FLAKED BARLEY, CRACKED TRITICALE (WHEAT), DEFATTED FLAXSEED MEAL, YEAST, HONEY, WHEY (MILK), CULTURED WHEY (FROM MILK), SALT, DOUGH CONDITIONERS (SOY LECITHIN, ETHOXYLATED MONO AND DIGLYCERIDES, SODIUM STEAROYL LACTYLATE, ASCORBIC ACID), MALTED BARLEY FLOUR, YEAST NUTRIENT (AMMONIUM SULFATE), CALCIUM SULFATE (CALCIUM), NIACIN, IRON (FERROUS SULFATE), THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID. NO ARTIFICIAL PRESERVATIVES ADDED.",
Kind healthy grains Oats and Honey,,,
Abound heart Healthy Trail Mix,,,
Carrés croustillants vanille,Healthy crunch,,
Chocolat,Healthy crunch,,
Heart healthy mix,Planters,"Peanuts, almonds, pistachios, pecans, walnuts, hazelnuts, peanut oil, sea salt.",
"Healthy warrior energy drink, Original",Zoa,,
Calorie healthy pop microwave pop corn kettle corn mini bags,Jolly Time,"100% whole grain non-gmo pop corn, partially hydrogenated soybean oil, salt, dextrin, sucratose, artificial flavor, soy lecithin, food starch-modified, annatto for coloring,",
"Healthy Choice Cafe Steamers Frozen Dinner, Barbecue Seasoned Steak with Potatoes, 9.5 Ounce, 9.5 OZ",,"russet potatoes, seasoned cooked beef and binder product (beef, water, contains 2% or less of: caramel color, dextrose, seasoning [natural flavor, salt, maltodextrin, dried whey, dried cauliflower, sesame oil], modified corn starch, potassium chloride, potassium phosphate, salt, sodium phosphates, spice extractives), water, corn, green and red bell peppers, onions, molasses, tomato paste, barbeque seasoning (brown sugar, sugar, molasses, worcestershire sauce powder [corn syrup, salt, caramel color, garlic, sugar, spices, soy sauce solids {fermented wheat and soybean, salt, maltodextrin, caramel color}, palm oil, tamarind, natural flavor], maltodextrin, sodium diacetate, spices including paprika and turmeric, natural smoke flavor [contains maltodextrin], citric acid, lactose, dehydrated onion and garlic), contains 2% or less of: sugar, whiskey flavor (water, whiskey, salt), modified corn starch, red wine vinegar, salt, natural mesquite smoke flavor, potassium chloride, garlic powder, contains: milk, soy, wheat,",
"Healthy Choice Cafe Steamers Frozen Dinner, Sweet Sesame Glazed Chicken, 9.75 Ounce, 9.75 OZ",,"Cooked rice (water, white rice), cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), water, sugar snap peas, carrots, mushrooms, sugar, contains 2% or less of: soy sauce (water, wheat, soybeans, salt, alcohol, vinegar, lactic acid), modified corn starch, sesame oil, sesame seeds, rice vinegar, garlic, cooking wine (white wine, natural flavor, salt), ginger, salt, canola oil, chili paste (red chili peppers, distilled vinegar, salt, xanthan gum). contains: soy, wheat.",
Healthy energy drink raspberry acai,,,
Fibergourmet light elbows ounce boxes healthy,,,
Whey,Fit &healthy,,
Healthy warrior energy drink Wild orange,,,
Deli thin-sliced rotisserie style chicken breast,Healthy Ones,"CHICKEN BREAST, CHICKEN BROTH, CONTAINS 2% OR LESS OF POTASSIUM LACTATE, SALT, SUGAR, MALTODEXTRIN, SODIUM PHOSPHATES, DEHYDRATED GARLIC, DEHYDRATED ONION, FLAVORINGS, SODIUM DIACETATE, PAPRIKA, SODIUM NITRITE, CHICKEN FLAVOR.",
Healthy warrior energy drink,,,
Cafe steamers chicken margherita with balsamic,Healthy Choice,"Cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg white), cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), tomatoes, water, raisin juice concentrate, contains 2% or less of: garlic, balsamic vinegar (wine vinegar, concentrated grape must), sugar, olive oil, basil, modified corn starch, onions, garlic puree, salt, chardonnay wine, molasses, canola oil. contains: egg, soy, wheat.",
Cafe steamers chicken linguini with red pepper alfredo,Healthy Choice,"Cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg white), broccoli, cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), water, red bell peppers and puree (red bell peppers, sugar, salt), parmesan cheese (part skim milk, cheese culture, salt, enzymes), contains 2% or less of: modified corn starch, soybean oil, nonfat dry milk, red pepper sauce (distilled vinegar, red pepper, salt), salt, flavorings, xanthan gum, guar gum. contains: egg, milk, soy, wheat.",
Healthy balance white grape peach flavored reduced,,"Filtered water, white grape juice concentrate, apple juice concentrate, citric acid, peach juice concentrate, ascorbic acid (vitamin c), natural flavors, sucralose, acesulfame potassium, beta carotene and vegetable juice for color.",
Healthy grains clusters almond butter,Kind,"oats, tapioca syrup, cane sugar, soy protein isolate, brown rice, canola oil, honey, almond butter (almonds), oat flour, buckwheat, molasses, millet, amaranth, quinoa, vanilla extract, brown rice syrup, cinnamon, sea salt, vitamin e (tocopherols to maintain freshness),",
Chocolate Almond Milk,Healthy Living,"Organic Almondmilk • Calcium 50mg 4% • Potassium 35mg 0% • Vit. E 7.5mg 50% (Filtered Water, Organic Almonds), Organic Cane Sugar, Organic Cocoa (Processed with Alkali), Natural Flavors, Sea Salt, Tricalcium Phosphate, Gellan Gum, Organic Locust Bean Gum, Vitamin A Palmitate, Ergocalciferol (Vitamin D2), DL-Alpha-Tocopherol Acetate (Vitamin E). ALLERGEN WARNING: Contains Almonds Cyanocobalamin (Vitamin B12).",
Mexican style street corn,Healthy choice,"eal (262g) corn, cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), water, cooked black beans (water, black beans), red bell peppers, contains 2% or less of: cotija cheese 240 daily value* 6% 10% 2g 13% 22% (cultured part-skim milk, salt, enzymes), key west lime juice (water, lime juice concentrates, lime oil), modified corn starch, cream, onions, olive oil, guajillo chile peppers, cilantro, salt, garlic, butter (cream, salt), canola oil, flavoring. contains: milk, soy. 30g 11% 29% ugars 2% 28% 0% 6% w.fhee",
Almond Milk - Organic,"Healthy Living,Diversified Foods Inc.","Organic Almondmilk (Filtered Water, Organice Almonds), Sea Salt, Tricalcium Phosphate, Gellan Gum, Organic Locust Bean Gum, Vitamin A Palmitate, Ergocalciferol (Vitamin D2), DL-Alpha-Tocopherol Acetate (Vitamin E), Cyancocobalamin (Vitamin B12).",
Sirloin Burger with Country Vegetables Soup,"Campbell's,Campbells Chunky Soup","Water, carrots, potatoes, seasoned beef sirloin burgers with onions (sirloin beef, reconstituted onions, potato extract, potassium chloride, salt, spice), tomato puree (water, tomato paste), green beans, peas, contains less than 2% of: modified food starch, wheat flour, potassium chloride, yeast extract, salt, beef broth, flavoring, beef flavor (contains beef stock), caramel color, disodium inosinate, disodium guanylate, onion extract.",
Healthy life keto bread,,"water, resistant wheat starch, wheat protein isolate, yeast, allulose, soybean oil, soy lecithin, salt, dough conditioner, calcium pionate, sorbic acid, steviol glycoside",
Keep healthy,,,
Organic Sliced Raw California Almonds,Healthy Life Market,Organic Raw Sliced California _Almonds_,
Organic Dried Mango,Healthy Life Market,Organic Dried Mango,
Healthy Oatmeal Bites,,,
Bar healthy grains clusters vanilla blueberry with flax seeds,Kind,"whole grain blend (oats, brown rice, buckwheat, millet, amaranth, quinoa), dried cane syrup, flax seeds, chicory root fiber, canola oil, vanilla extract, molasses, apple puree, plum puree, apple juice, blueberry puree, brown rice syrup, glycerine, sea salt, vitamin e (to maintain freshness), citrus fiber, citrus pectin, natural flavor,",
Quick Oats,Chef Maxwell,Whole Grain Rolled Oats,
Seasoned Hoppin' John with Vidalia Onions,Margaret Holmes,"Prepared Blackeye Peas, Water, Vidalia Onions (14.8%), Monosodium Glutamate, Salt, Dehydrated Bell Pepper, Dehydrated Onion, Sugar, Spices, Natural Flavors, Natural Smoke Flavor, Calcium Disodium EDTA (to promote color retention).",
Beef Chimichurri,Healthy Choice,,
Power bowls frozen dinner,Healthy choice,,
